windowID,sourceRunID,processedFile,split,phaseSeed,Hs,Tp,faultName,severity,startRow,endRow,startTime_s,endTime_s
1,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,1,300,100,159.8
2,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,151,450,130,189.8
3,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,301,600,160,219.8
4,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,451,750,190,249.8
5,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,601,900,220,279.8
6,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,751,1050,250,309.8
7,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,901,1200,280,339.8
8,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,1051,1350,310,369.8
9,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,1201,1500,340,399.8
10,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,1351,1650,370,429.8
11,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,1501,1800,400,459.8
12,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,1651,1950,430,489.8
13,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,1801,2100,460,519.8
14,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,1951,2250,490,549.8
15,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,2101,2400,520,579.8
16,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,2251,2550,550,609.8
17,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,2401,2700,580,639.8
18,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,2551,2850,610,669.8
19,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,2701,3000,640,699.8
20,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,2851,3150,670,729.8
21,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,3001,3300,700,759.8
22,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,3151,3450,730,789.8
23,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,3301,3600,760,819.8
24,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,3451,3750,790,849.8
25,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,3601,3900,820,879.8
26,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,3751,4050,850,909.8
27,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,3901,4200,880,939.8
28,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,4051,4350,910,969.8
29,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,4201,4500,940,999.8
30,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,4351,4650,970,1029.8
31,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,4501,4800,1000,1059.8
32,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,4651,4950,1030,1089.8
33,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,4801,5100,1060,1119.8
34,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,4951,5250,1090,1149.8
35,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,5101,5400,1120,1179.8
36,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,5251,5550,1150,1209.8
37,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,5401,5700,1180,1239.8
38,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,5551,5850,1210,1269.8
39,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,5701,6000,1240,1299.8
40,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,5851,6150,1270,1329.8
41,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,6001,6300,1300,1359.8
